id,title,start,end,group,importance (對自己影響的程度),skills,description 
1,工程力學,2018/09,2019/01,課程,,,成大課程
2,計算機概論,2018/09,2019/01,課程,,C++,成大課程
3,普通物理學,2018/09,2019/01,課程,,,成大課程
4,普通物理學實驗,2018/09,2019/01,課程,,,成大課程
5,工程圖學與機械製圖,2018/09,2019/01,課程,,Solidwork,成大課程
6,微積分(一),2018/09,2019/01,課程,,,成大課程
7,程式設計,2019/02,2019/06,課程,,C++ ,成大課程
8,材料力學(一),2019/02,2019/06,課程,,,成大課程
9,工程動力學,2019/02,2019/06,課程,,,成大課程
10,微積分(二),2019/02,2019/06,課程,,,成大課程
11,工程科學暨創新概論,2019/02,2019/06,課程,,C++ embedded,成大課程
12,創意程式應用,2019/02,2019/06,課程,,C++ embedded,成大課程
13,線性代數,2019/02,2019/06,課程,,,成大課程
14,微積分(二),2019/02,2019/06,課程,,,成大課程
15,資料結構,2019/09,2020/01,課程,,C++,成大課程
16,熱力學,2019/09,2020/01,課程,,,成大課程
17,電路學,2019/09,2020/01,課程,,,成大課程
18,工程數學(一),2019/09,2020/01,課程,,,成大課程
19,材料科學,2019/09,2020/01,課程,,,成大課程
20,統計入門,2019/09,2020/01,課程,,,成大課程
21,邏輯設計,2020/02,2020/06,課程,,Verilog,成大課程
22,電子學,2020/02,2020/06,課程,,,成大課程
23,工程數學(二),2020/02,2020/06,課程,,,成大課程
24,電子學實驗,2020/02,2020/06,課程,,,成大課程
25,會計原則,2020/02,2020/06,課程,,,成大課程
26,日文(二),2020/02,2020/06,課程,,,成大課程
27,計算機組織與組合語言,2020/09,2021/01,課程,,C++ embedded,成大課程
28,自動控制,2020/09,2021/01,課程,,,成大課程
29,日文(三),2020/09,2021/01,課程,,,成大課程
30,微處理機與介面設計(含實習),2020/09,2021/01,課程,,C++ embedded assembly,成大課程
31,通訊系統,2020/09,2021/01,課程,,,成大課程
32,專題研究(一),2020/09,2021/01,課程,,,成大課程
33,影像處理、電腦視覺及深度學習概論,2020/09,2021/01,課程,,Python computer-vision deep-learning,成大課程
34,近代物理,2021/02,2021/06,課程,,,成大課程
35,數值方法,2021/02,2021/06,課程,,algorithm MATLAB,成大課程
36,熱傳學,2021/02,2021/06,課程,,,成大課程
37,日文(四),2021/02,2021/06,課程,,,成大課程
38,計算機演算法,2021/02,2021/06,課程,,C++ algorithm,成大課程
39,機器學習,2021/02,2021/06,課程,,C++ machine-learning AI,成大課程
40,作業系統,2021/02,2021/06,課程,,OS C C++ Linux,成大課程
41,專題研究(二),2021/02,2021/06,課程,,,成大課程
42,編譯系統,2021/02,2021/06,課程,,C++ lex/yacc,成大課程
43,流體力學,2021/09,2022/01,課程,,,成大課程
44,人工智慧導論,2021/09,2022/01,課程,,Python,成大課程
45,高階競技程式設計,2021/09,2022/01,課程,,C++ algorithm,成大課程
46,資料探勘,2021/09,2022/01,課程,,Python deep-learning,成大課程
47,多處理機平行程式設計(自),2021/09,2022/01,課程,,C C++ multi-thread Linux,成大課程
48,物聯網核心網路技術(自),2021/09,2022/01,課程,,,成大課程
49,Linux核心設計,2022/02,2022/06,課程,,C Linux,成大課程
50,遺傳基因演算法,2022/02,2022/06,課程,,C++ Python algorithm,成大課程
51,多媒體內容分析,2022/02,2022/06,課程,,Python deep-learning,成大課程
52,3D遊戲程式,2022/09,2023/01,課程,,C++ C# Unity,陽交大課程
53,計算機圖學,2022/09,2023/01,課程,,C++ computer-graphics,陽交大課程
54,數位遊戲與學習,2022/09,2023/01,課程,,Unity,陽交大課程
55,電腦對局理論,2022/09,2023/01,課程,,C++ RL,陽交大課程
56,進階三圍電腦視覺,2023/02,2023/06,課程,,Python computer-vision deep-learning,陽交大課程
57,腦機介面系統,2023/02,2023/06,課程,,Python deep-learning classification,陽交大課程
58,電腦動畫與特效,2023/02,2023/06,課程,,C++ computer-graphics,陽交大課程
59,軟體測試,2023/02,2023/06,課程,3,Python unit-test TDD,陽交大課程
60,碩士研究,2024/09,2026/02,專案,3,Unity fitting algorithm UI/UX user-study statistics ,
61,大學專題,2021/09,2022/06,專案,2,Unity multiplayer-networking multi-thread computer-vision,
62,產學合作,2023/07,2024/09,專案,3,Unity multiplayer-networking UI/UX database LLM VR,
63,第二十一屆工程科學研習營,2018/10,2019/01,社團,,,
64,第九屆成功登大人-新鮮人成長營,2019/07,2020/09,社團,,,
65,工幼迎新宿營,2019/05,2019/09,社團,,,
66,工歷迎新宿營,2020/05,2020/09,社團,,,
67,工科工設聯合工作坊IDESign,2020/02,2020/05,社團,,embedded front-end,
68,第二十二屆工程科學研習營,2019/10,2020/01,社團,,,
69,工程科學系會 會長,2020/07,2021/06,社團,3,,
70,第四十四期國立成功大學學生代表大會,2020/07,2021/06,社團,,,
71,第二十三屆工程科學研習營,2020/10,2021/01,社團,,embedded front-end,
72,工程科學系 創課計畫 Unity遊戲設計,2022/03,2022/04,社團,,Unity,
73,PG 2025,2025/10,2025/10,其他,2,computer-vision,
74,2023 CGW,2023/10,2023/10,其他,2,computer-vision,
75,個人網站實作,2026/02,2026/03,專案,2,front-end AI,
76,內外場服務生,2018/06,2018/08,其他,,,
77,愛學館 教學教練,2022/01,2022/08,其他,,,
78,家教 個人接案,2022/09,2025/06,其他,,,
